donorID,campID,date
100001,0,1998-10-23
100001,1577,1999-08-18
100001,1634,1999-12-31
100001,1778,2000-10-19
100001,1808,2000-12-29
100001,1933,2001-09-24
100001,2094,2002-08-30
100001,2335,2003-11-21
100001,2550,2004-11-25
100001,2653,2005-04-19
100001,2714,2005-12-16
100001,3049,2006-12-18
100002,3941,2010-04-09
100008,1428,1998-10-27
100008,1601,1999-10-14
100008,2963,2006-07-27
100009,954,1996-02-06
100009,1218,1997-10-30
100009,1317,1998-09-04
100009,1601,1999-11-02
100009,1790,2000-12-11
100009,1903,2001-07-11
100009,1949,2001-11-09
100009,1991,2002-03-14
100009,2035,2002-05-16
100009,2144,2003-01-08
100009,2193,2003-03-19
100009,2351,2003-12-24
100009,2485,2004-10-25
100009,2566,2005-02-15
100009,2710,2005-09-08
100009,2714,2005-12-21
100009,2905,2006-04-12
100009,3033,2006-12-04
100009,3125,2007-05-04
100010,3941,2010-04-07
100011,4213,2010-05-26
100012,4210,2010-10-29
100018,3941,2010-06-16
100019,3528,2008-12-17
100019,3816,2009-12-30
100019,4223,2010-12-23
100021,1026,1996-06-06
100021,1058,1996-09-09
100021,1185,1997-07-07
100021,1374,1998-07-01
100021,1739,2000-08-21
100021,1790,2000-12-12
100021,1929,2001-11-19
100021,2470,2004-07-26
100021,2550,2004-12-01
100022,3505,2008-07-16
100022,3664,2009-05-08
100026,0,2005-12-15
100026,2654,2005-05-03
100026,2712,2005-11-03
100026,2994,2006-09-21
100026,3079,2007-03-06
100026,3125,2007-05-04
100026,3189,2007-12-13
100026,3443,2008-08-11
100029,3941,2010-04-08
100029,4320,2010-08-30
100031,3941,2010-04-09
100034,3941,2010-04-12
100034,6170,2013-05-03
100036,3941,2010-04-06
100037,4210,2010-11-08
100045,4213,2010-07-09
100046,3361,2008-05-09
100048,3361,2008-05-20
100048,4215,2010-04-26
100052,3941,2010-04-14
100055,3361,2008-05-19
100055,3614,2009-03-02
100056,4210,2010-11-23
100058,0,1998-12-18
100058,0,1999-12-20
100058,711,1995-02-03
100058,723,1995-01-05
100058,796,1995-06-09
100058,901,1995-11-24
100058,930,1995-12-29
100058,1058,1996-08-30
100058,1074,1996-10-29
100058,1149,1997-03-18
100058,1185,1997-05-20
100058,1248,1997-10-29
100058,1280,1998-01-29
100058,1280,1998-10-26
